Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close
2019-07-22,10596.95,10651.79,10154.92,10343.11,4076.85,4199.00,3946.91,4083.92
2019-07-21,10777.53,10841.89,10389.60,10599.11,4069.45,4191.56,3939.82,4076.69
2019-07-20,10525.82,11048.66,10451.28,10767.14,4061.92,4183.98,3932.56,4069.29
2019-07-19,10653.96,10716.98,10229.63,10530.73,4054.56,4176.25,3925.26,4061.76
2019-07-18,9698.50,10736.84,9376.80,10666.48,4047.12,4168.77,3918.12,4054.41
2019-07-17,9471.21,9963.13,9163.13,9693.80,4040.36,4161.26,3911.58,4046.95
2019-07-16,10896.65,10996.63,9448.11,9477.64,4033.75,4154.31,3905.20,4040.19
2019-07-15,10257.84,11052.77,9992.01,10895.09,4026.14,4146.64,3898.62,4033.59
2019-07-14,11381.02,11451.20,10234.58,10256.06,4018.97,4138.91,3891.64,4025.97
2019-07-13,11813.13,11841.96,10908.48,11392.38,4011.01,4130.90,3884.50,4018.81
2019-07-12,11354.30,11905.49,11179.14,11815.99,4002.75,4122.61,3876.87,4010.84
2019-07-11,12139.71,12144.62,11158.92,11358.66,3994.81,4114.28,3869.06,4002.57
2019-07-10,12571.54,13129.53,11710.98,12156.51,3986.30,4105.78,3861.26,3994.63
2019-07-09,12284.33,12779.13,12233.26,12573.81,3977.50,4096.58,3853.06,3986.11
2019-07-08,11446.60,12345.83,11393.37,12285.96,3968.90,4087.62,3844.49,3977.31
2019-07-07,11217.62,11541.62,11148.80,11450.85,3960.89,4078.98,3836.53,3968.70
2019-07-06,10982.54,11620.96,10982.54,11208.55,3953.05,4070.91,3828.73,3960.69
2019-07-05,11203.10,11395.66,10874.96,10978.46,3945.37,4062.77,3821.05,3952.85
2019-07-04,11972.72,12006.08,11166.57,11215.44,3937.53,4054.80,3813.44,3945.18
2019-07-03,10818.16,11968.08,10818.16,11961.27,3929.14,4046.39,3805.63,3937.33
2019-07-02,10588.68,10912.19,9737.88,10801.68,3921.57,4038.00,3798.06,3928.95
2019-07-01,10796.93,11206.44,10089.31,10583.13,3914.17,4030.38,3791.27,3921.40
2019-06-30,11931.99,12178.38,10799.01,10817.16,3906.63,4022.54,3784.23,3914.00
2019-06-29,12400.76,12400.91,11508.38,11959.37,3898.27,4014.00,3776.67,3906.44
2019-06-28,11162.17,12445.17,10914.50,12407.33,3889.57,4005.31,3768.62,3898.06
2019-06-27,13017.13,13311.14,10491.85,11182.81,3881.76,3996.59,3760.98,3889.36
2019-06-26,11778.58,13796.49,11755.60,13016.23,3872.63,3987.25,3753.64,3881.54
2019-06-25,11007.20,11790.92,11007.20,11790.92,3864.37,3977.56,3745.40,3872.40
2019-06-24,10853.74,11065.90,10610.43,11011.10,3856.66,3969.30,3737.68,3864.14
2019-06-23,10696.69,11246.14,10556.10,10855.37,3849.07,3961.55,3730.25,3856.42
