Date,Open,High,Low,Close,200_WMA_Open,200_WMA_High,200_WMA_Low,200_WMA_Close,200_WMA_Dollar_1_Day,200_WMA_Percent_1_Day,Price_Change_Dollar_200_Week,Price_Change_Percent_200_Week,Price_Change_Dollar_Same_Day_Swing,Price_Change_Percent_Same_Day_Swing,Price_Change_Dollar_1_Day,Price_Change_Percent_1_Day
2025-09-18,116461.27,117911.79,116188.80,117137.20,52634.55,53583.96,51663.07,52674.46,42.99,0.08,60195.07,105.71,1722.99,1.5,668.70,0.57
2025-09-17,116840.51,117328.61,114794.98,116468.51,52594.49,53543.28,51620.47,52631.47,40.08,0.08,56100.50,92.93,2533.63,2.2,-374.68,-0.32
2025-09-16,115423.76,117005.27,114813.09,116843.19,52553.99,53502.90,51580.27,52591.39,40.49,0.08,56681.94,94.22,2192.18,1.9,1398.31,1.21
2025-09-15,115399.63,116747.88,114461.06,115444.88,52517.06,53464.85,51540.41,52550.90,37.05,0.07,51887.00,81.64,2286.82,2.0,37.22,0.03
2025-09-14,115950.29,116181.50,115222.40,115407.66,52481.43,53428.79,51504.05,52513.85,35.68,0.07,49940.82,76.28,959.10,0.8,-542.85,-0.47
2025-09-13,116093.56,116334.63,115248.27,115950.51,52444.64,53392.60,51467.22,52478.17,36.76,0.07,51480.98,79.85,1086.36,0.9,-151.07,-0.13
2025-09-12,115507.79,116769.38,114794.48,116101.58,52407.55,53355.86,51430.11,52441.41,37.11,0.07,51945.64,80.97,1974.90,1.7,594.04,0.51
2025-09-11,113961.43,115522.55,113453.84,115507.54,52371.37,53319.21,51392.63,52404.30,36.11,0.07,50557.58,77.84,2068.71,1.8,1552.18,1.36
2025-09-10,111531.25,114275.25,110940.08,113955.36,52336.37,53283.53,51357.45,52368.19,34.98,0.07,48960.13,75.33,3335.17,2.9,2424.81,2.17
2025-09-09,112077.58,113225.44,110776.70,111530.55,52304.53,53251.05,51323.36,52333.21,31.84,0.06,44558.72,66.53,2448.73,2.2,-540.88,-0.48
2025-09-08,111163.02,112869.23,110630.61,112071.43,52272.72,53219.13,51291.64,52301.37,31.79,0.06,44504.60,65.87,2238.62,2.0,903.81,0.81
2025-09-07,110221.33,111591.08,110211.62,111167.62,52238.57,53186.85,51257.87,52269.58,34.17,0.07,47840.63,75.55,1379.45,1.2,942.92,0.86
2025-09-06,110650.57,111275.02,110024.09,110224.70,52203.80,53152.37,51223.02,52235.41,34.77,0.07,48697.21,79.15,1250.93,1.1,-426.29,-0.39
2025-09-05,110723.02,113357.49,110233.40,110650.98,52168.39,53116.89,51187.42,52200.64,35.38,0.07,49525.31,81.02,3124.09,2.8,-72.62,-0.07
2025-09-04,111718.15,112208.33,109347.23,110723.60,52133.21,53080.59,51152.13,52165.26,35.19,0.07,49271.37,80.18,2861.10,2.6,-999.61,-0.89
2025-09-03,111190.70,112600.23,110582.96,111723.21,52098.37,53045.53,51117.45,52130.07,34.82,0.07,48753.16,77.42,2017.27,1.8,522.62,0.47
2025-09-02,109243.07,111748.02,108454.03,111200.59,52064.12,53010.47,51082.16,52095.25,34.27,0.07,47974.18,75.88,3293.98,3.0,1949.99,1.78
2025-09-01,108228.75,109890.59,107271.18,109250.59,52029.63,52976.54,51048.04,52060.98,34.45,0.07,48246.19,79.09,2619.41,2.4,1013.88,0.94
2025-08-31,108818.46,109491.00,108104.66,108236.71,51996.13,52942.63,51014.05,52026.53,33.52,0.06,46917.75,76.51,1386.34,1.3,-571.36,-0.53
2025-08-30,108409.41,108929.35,107444.45,108808.07,51962.58,52909.00,50979.74,51993.01,33.51,0.06,46919.24,75.81,1484.91,1.4,397.23,0.37
2025-08-29,112550.52,112619.05,107559.62,108410.84,51929.59,52875.71,50946.51,51959.50,33.00,0.06,46182.87,74.22,5059.43,4.7,-4133.97,-3.67
2025-08-28,111219.05,113450.08,110900.92,112544.80,51892.50,52840.22,50912.78,51926.50,37.07,0.07,51922.67,85.65,2549.16,2.3,1322.74,1.19
